date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1990-01-02,88.75,88.75,86.12,87.25,368289,0.3786137339,0.3786137339,0.3673939691,0.3722146285,53033616,0.0,1.0
1990-01-03,89.25,90.25,88.5,89.5,790089,0.380746769,0.3850128392,0.3775472163,0.3818132865,113772816,0.0,1.0
1990-01-04,91.87,92.0,88.75,89.25,873200,0.391923873,0.3924784621,0.3786137339,0.380746769,125740800,0.0,1.0
1990-01-05,89.62,92.0,89.5,91.5,483089,0.382325215,0.3924784621,0.3818132865,0.390345427,69564816,0.0,1.0
1990-01-08,91.0,91.0,88.5,89.5,409600,0.3882123919,0.3882123919,0.3775472163,0.3818132865,58982400,0.0,1.0
1990-01-09,90.75,92.0,90.25,91.0,488200,0.3871458743,0.3924784621,0.3850128392,0.3882123919,70300800,0.0,1.0
1990-01-10,88.25,91.25,88.12,90.0,720600,0.3764806987,0.3892789095,0.3759261096,0.3839463217,103766400,0.0,1.0
1990-01-11,86.5,89.5,85.0,88.75,665089,0.3690150758,0.3818132865,0.3626159705,0.3786137339,95772816,0.0,1.0
1990-01-12,86.12,87.25,84.0,85.12,1034089,0.3673939691,0.3722146285,0.3583499002,0.3631278989,148908816,0.0,1.0
1990-01-15,86.12,87.0,85.25,85.75,433800,0.3673939691,0.3711481109,0.363682488,0.3658155231,62467200,0.0,1.0
1990-01-16,88.75,89.25,84.5,85.5,556200,0.3786137339,0.380746769,0.3604829353,0.3647490056,80092800,0.0,1.0
1990-01-17,87.5,90.5,87.0,88.0,677689,0.3732811461,0.3860793568,0.3711481109,0.3754141812,97587216,0.0,1.0
1990-01-18,95.0,95.0,89.5,89.62,2030289,0.4052766729,0.4052766729,0.3818132865,0.382325215,292361616,0.0,1.0
1990-01-19,94.12,96.0,93.5,95.25,689289,0.4015225311,0.4095427431,0.3988775675,0.4063431904,99257616,0.0,1.0
1990-01-22,90.75,94.0,90.5,94.0,1164489,0.3871458743,0.4010106026,0.3860793568,0.4010106026,167686416,0.0,1.0
1990-01-23,89.75,91.25,89.25,91.0,967689,0.3828798041,0.3892789095,0.380746769,0.3882123919,139347216,0.0,1.0
1990-01-24,90.75,90.75,87.12,88.0,1252400,0.3871458743,0.3871458743,0.3716600394,0.3754141812,180345600,0.0,1.0
1990-01-25,90.75,92.5,90.5,91.5,783000,0.3871458743,0.3946114973,0.3860793568,0.390345427,112752000,0.0,1.0
1990-01-26,90.75,91.25,90.0,90.5,472800,0.3871458743,0.3892789095,0.3839463217,0.3860793568,68083200,0.0,1.0
1990-01-29,91.5,92.25,90.25,91.5,382489,0.390345427,0.3935449797,0.3850128392,0.390345427,55078416,0.0,1.0
1990-01-30,91.25,92.5,90.0,91.75,507689,0.3892789095,0.3946114973,0.3839463217,0.3914119446,73107216,0.0,1.0
1990-01-31,92.5,92.5,91.25,92.0,784289,0.3946114973,0.3946114973,0.3892789095,0.3924784621,112937616,0.0,1.0
1990-02-01,93.75,94.25,92.5,92.5,619400,0.3999440851,0.4020771202,0.3946114973,0.3946114973,89193600,0.0,1.0
1990-02-02,93.75,95.5,93.0,93.0,495800,0.3999440851,0.407409708,0.3967445324,0.3967445324,71395200,0.0,1.0
1990-02-05,94.25,94.25,93.25,93.62,414800,0.4020771202,0.4020771202,0.3978110499,0.3993894959,59731200,0.0,1.0
1990-02-06,94.0,94.25,92.25,94.0,569200,0.4010106026,0.4020771202,0.3935449797,0.4010106026,81964800,0.0,1.0
1990-02-07,93.25,94.75,93.0,93.5,931600,0.3978110499,0.4042101553,0.3967445324,0.3988775675,134150400,0.0,1.0
1990-02-08,94.25,95.0,93.25,93.62,661289,0.4020771202,0.4052766729,0.3978110499,0.3993894959,95225616,0.0,1.0
1990-02-09,94.5,94.75,94.0,94.25,433200,0.4031436378,0.4042101553,0.4010106026,0.4020771202,62380800,0.0,1.0
1990-02-12,94.75,95.5,94.0,94.5,389489,0.4042101553,0.407409708,0.4010106026,0.4031436378,56086416,0.0,1.0
1990-02-13,94.75,95.25,94.5,95.0,408000,0.4042101553,0.4063431904,0.4031436378,0.4052766729,58752000,0.0,1.0
1990-02-14,95.0,95.25,94.5,95.25,249089,0.4052766729,0.4063431904,0.4031436378,0.4063431904,35868816,0.0,1.0
1990-02-15,97.0,98.0,95.0,95.0,621489,0.4138088134,0.4180748836,0.4052766729,0.4052766729,89494416,0.0,1.0
1990-02-16,98.0,98.75,97.75,98.25,492200,0.4180748836,0.4212744363,0.417008366,0.4191414012,70876800,0.0,1.0
1990-02-20,100.25,100.5,97.0,97.75,921200,0.4276735416,0.4287400592,0.4138088134,0.417008366,132652800,0.0,1.0
1990-02-21,96.12,100.0,95.75,98.75,717689,0.4100546715,0.4266070241,0.4084762256,0.4212744363,103347216,0.0,1.0
1990-02-22,96.37,98.25,96.25,96.75,422289,0.4111211891,0.4191414012,0.4106092607,0.4127422958,60809616,0.0,1.0
1990-02-23,97.5,97.75,95.5,95.75,394800,0.4159418485,0.417008366,0.407409708,0.4084762256,56851200,0.0,1.0
1990-02-26,99.25,100.0,97.25,97.5,480689,0.4234074714,0.4266070241,0.4148753309,0.4159418485,69219216,0.0,1.0
1990-02-27,98.0,99.5,98.0,99.5,430689,0.4180748836,0.424473989,0.4180748836,0.424473989,62019216,0.0,1.0
1990-02-28,98.75,99.75,98.0,98.0,273000,0.4212744363,0.4255405065,0.4180748836,0.4180748836,39312000,0.0,1.0
1990-03-01,100.0,101.75,98.5,98.5,533800,0.4266070241,0.434072647,0.4202079187,0.4202079187,76867200,0.0,1.0
1990-03-02,103.75,104.37,100.12,100.25,695889,0.4426047875,0.445249751,0.4271189525,0.4276735416,100208016,0.0,1.0
1990-03-05,105.25,105.75,102.25,103.5,524489,0.4490038928,0.451136928,0.4362056821,0.4415382699,75526416,0.0,1.0
1990-03-06,104.5,105.0,102.5,104.75,476600,0.4458043402,0.4479373753,0.4372721997,0.4468708577,68630400,0.0,1.0
1990-03-07,102.75,105.5,102.75,104.75,330600,0.4383387172,0.4500704104,0.4383387172,0.4468708577,47606400,0.0,1.0
1990-03-08,106.25,107.25,101.75,103.0,617889,0.4532699631,0.4575360333,0.434072647,0.4394052348,88976016,0.0,1.0
1990-03-09,106.5,108.0,105.25,106.0,526000,0.4543364806,0.460735586,0.4490038928,0.4522034455,75744000,0.0,1.0
1990-03-12,108.25,108.75,106.0,106.25,478289,0.4618021036,0.4639351387,0.4522034455,0.4532699631,68873616,0.0,1.0
1990-03-13,106.25,109.0,106.25,108.5,591689,0.4532699631,0.4650016562,0.4532699631,0.4628686211,85203216,0.0,1.0
1990-03-14,107.87,108.75,106.0,107.25,909489,0.4601809969,0.4639351387,0.4522034455,0.4575360333,130966416,0.0,1.0
1990-03-15,111.0,111.75,107.75,107.87,567200,0.4735337967,0.4767333494,0.4596690684,0.4601809969,81676800,0.0,1.0
1990-03-16,114.0,115.25,111.75,112.0,825689,0.4863320074,0.4916645952,0.4767333494,0.477799867,118899216,0.0,1.0
1990-03-19,116.5,117.0,113.0,113.75,563689,0.496997183,0.4991302182,0.4820659372,0.4852654899,81171216,0.0,1.0
1990-03-20,113.0,116.75,112.5,116.5,639889,0.4820659372,0.4980637006,0.4799329021,0.496997183,92144016,0.0,1.0
1990-03-21,113.25,115.5,112.25,112.87,485000,0.4831324548,0.4927311128,0.4788663845,0.4815113481,69840000,0.0,1.0
1990-03-22,111.25,113.75,110.25,113.5,641800,0.4746003143,0.4852654899,0.470334244,0.4841989723,92419200,0.0,1.0
1990-03-23,110.25,113.25,109.0,112.0,372200,0.470334244,0.4831324548,0.4650016562,0.477799867,53596800,0.0,1.0
1990-03-26,111.5,112.5,110.37,110.5,388400,0.4756668318,0.4799329021,0.4708461725,0.4714007616,55929600,0.0,1.0
1990-03-27,112.5,113.0,110.75,111.12,364689,0.4799329021,0.4820659372,0.4724672792,0.4740457252,52515216,0.0,1.0
1990-03-28,111.0,112.25,108.5,112.25,691200,0.4735337967,0.4788663845,0.4628686211,0.4788663845,99532800,0.0,1.0
1990-03-29,110.5,112.75,110.0,110.37,449889,0.4714007616,0.4809994196,0.4692677265,0.4708461725,64784016,0.0,1.0
1990-03-30,110.75,111.0,109.25,110.0,254800,0.4724672792,0.4735337967,0.4660681738,0.4692677265,36691200,0.0,1.0
1990-04-02,111.5,112.37,109.25,109.75,514289,0.4756668318,0.479378313,0.4660681738,0.4682012089,74057616,0.0,1.0
1990-04-03,116.0,116.25,112.5,112.75,587800,0.4948641479,0.4959306655,0.4799329021,0.4809994196,84643200,0.0,1.0
1990-04-04,117.0,118.75,115.5,116.0,553089,0.4991302182,0.5065958411,0.4927311128,0.4948641479,79644816,0.0,1.0
1990-04-05,114.5,117.12,114.5,116.87,460889,0.4884650426,0.4996421466,0.4884650426,0.498575629,66368016,0.0,1.0
1990-04-06,114.25,115.25,113.25,114.75,506089,0.487398525,0.4916645952,0.4831324548,0.4895315601,72876816,0.0,1.0
1990-04-09,114.5,115.25,113.75,113.75,216489,0.4884650426,0.4916645952,0.4852654899,0.4852654899,31174416,0.0,1.0
