date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-09-09,50.66,51.25,50.57,51.25,53000,76.8498527045,77.7448667806,76.7133251335,77.7448667806,26500,0.0,1.0
2010-09-10,50.89,50.93,50.648,50.84,17200,77.1987564969,77.2594354173,76.8316490284,77.1229078463,8600,0.0,1.0
2010-09-13,51.53,51.57,51.25,51.48,67400,78.1696192235,78.2302981439,77.7448667806,78.093770573,33700,0.0,1.0
2010-09-14,51.519,51.74,51.19,51.42,118800,78.1529325204,78.4881835557,77.6538484,78.0027521923,59400,0.0,1.0
2010-09-15,51.65,51.69,51.2,51.31,18400,78.3516559847,78.4123349051,77.6690181301,77.8358851612,9200,0.0,1.0
2010-09-16,51.63,51.66,51.35,51.51,119000,78.3213165245,78.3668257148,77.8965640816,78.1392797633,59500,0.0,1.0
2010-09-17,51.68,51.94,51.51,51.94,98600,78.397165175,78.7915781577,78.1392797633,78.7915781577,49300,0.0,1.0
2010-09-20,52.52,52.52,51.73,51.87,38000,79.6714225037,79.6714225037,78.4730138256,78.685390047,19000,0.0,1.0
2010-09-21,52.3599,52.72,52.14,52.51,38400,79.4285551248,79.9748171058,79.0949727598,79.6562527736,19200,0.0,1.0
2010-09-22,52.08,52.52,51.98,52.28,36200,79.0039543792,79.6714225037,78.8522570781,79.3073489813,18100,0.0,1.0
2010-09-23,51.6531,52.17,51.56,51.66,66600,78.3563586011,79.1404819501,78.2151284138,78.3668257148,33300,0.0,1.0
2010-09-24,52.42,52.45,51.934,51.97,48200,79.9429606726,79.9887120808,79.201787859,79.2566895489,24100,0.279,1.0
2010-09-27,52.17,52.49,52.17,52.49,30000,79.5616989372,80.0497139585,79.5616989372,80.0497139585,15000,0.0,1.0
2010-09-28,52.51,52.51,51.71,52.159,99600,80.0802148973,80.0802148973,78.8601773441,79.5449234209,49800,0.0,1.0
2010-09-29,52.26,52.455,52.11,52.29,31800,79.698953162,79.9963373155,79.4701961207,79.7447045702,15900,0.0,1.0
2010-09-30,52.18,52.84,51.98,52.6,89400,79.5769494066,80.583480388,79.2719400183,80.2174691221,44700,0.0,1.0
2010-10-01,52.36,52.58,52.0824,52.54,34200,79.8514578561,80.1869681832,79.4281048251,80.1259663056,17100,0.0,1.0
2010-10-04,51.92,52.63,51.75,52.63,177400,79.1804372018,80.2632205303,78.9211792218,80.2632205303,88700,0.0,1.0
2010-10-05,53.058,53.1,52.41,52.51,39600,80.9159406213,80.9799925928,79.9277102032,80.0802148973,19800,0.0,1.0
2010-10-06,52.968,53.14,52.81,53.06,553800,80.7786863965,81.0409944705,80.5377289798,80.9189907151,276900,0.0,1.0
2010-10-07,52.94,53.25,52.66,53.25,99800,80.7359850822,81.208749634,80.3089719385,81.208749634,49900,0.0,1.0
2010-10-08,53.3399,53.37,52.83,53.01,123000,81.3458513541,81.391755267,80.5682299186,80.8427383681,61500,0.0,1.0
2010-10-11,53.25,53.42,53.14,53.36,28400,81.208749634,81.4680076141,81.0409944705,81.3765047976,14200,0.0,1.0
2010-10-12,53.56,53.62,52.87,53.19,84000,81.6815141859,81.7730170024,80.6292317963,81.1172468175,42000,0.0,1.0
2010-10-13,53.88,54.14,53.62,53.79,148800,82.1695292072,82.5660414119,81.7730170024,82.0322749824,74400,0.0,1.0
2010-10-14,53.68,53.909,53.4,53.85,38200,81.8645198189,82.2137555685,81.4375066752,82.1237777989,19100,0.0,1.0
2010-10-15,53.78,54.04,53.36,54.02,109800,82.017024513,82.4135367178,81.3765047976,82.383035779,54900,0.0,1.0
2010-10-18,54.17,54.22,53.72,53.81,45600,82.6117928202,82.6880451673,81.9255216965,82.0627759213,22800,0.0,1.0
2010-10-19,53.3101,53.84,53.01,53.57,77000,81.3004049552,82.1085273295,80.8427383681,81.6967646553,38500,0.0,1.0
2010-10-20,53.88,54.08,53.47,53.47,45600,82.1695292072,82.4745385955,81.5442599611,81.5442599611,22800,0.0,1.0
2010-10-21,53.96,54.378,53.655,54.13,58800,82.2915329625,82.929002584,81.8263936453,82.5507909425,29400,0.0,1.0
2010-10-22,54.09,54.1,53.97,54.08,49600,82.4897890649,82.5050395343,82.3067834319,82.4745385955,24800,0.0,1.0
2010-10-25,54.25,54.64,54.23,54.51,59200,82.7337965755,83.3285648827,82.7032956367,83.1303087803,29600,0.0,1.0
2010-10-26,54.24,54.276,53.94,53.96,30000,82.7185461061,82.773447796,82.2610320236,82.2915329625,15000,0.0,1.0
2010-10-27,54.07,54.11,53.61,53.87,34200,82.459288126,82.5202900037,81.757766533,82.1542787377,17100,0.0,1.0
2010-10-28,54.11,54.41,53.88,54.38,38400,82.5202900037,82.9778040861,82.1695292072,82.9320526779,19200,0.0,1.0
2010-10-29,54.15,54.21,54.0,54.05,26800,82.5812918814,82.6727946978,82.3525348401,82.4287871872,13400,0.0,1.0
2010-11-01,54.18,54.71,53.88,54.46,103000,82.6270432896,83.4353181686,82.1695292072,83.0540564332,51500,0.0,1.0
2010-11-02,54.6,54.71,54.429,54.61,52200,83.267563005,83.4353181686,83.006779978,83.2828134744,26100,0.0,1.0
2010-11-03,54.83,54.83,54.16,54.71,63600,83.6183238016,83.6183238016,82.5965423508,83.4353181686,31800,0.0,1.0
2010-11-04,55.86,55.9,55.37,55.45,98000,85.1891221513,85.250124029,84.44184915,84.5638529053,49000,0.0,1.0
2010-11-05,56.08,56.15,55.84,55.95,96600,85.5246324784,85.6313857643,85.1586212125,85.326376376,48300,0.0,1.0
2010-11-08,56.01,56.04,55.75,55.94,86800,85.4178791925,85.4636306008,85.0213669877,85.3111259066,43400,0.0,1.0
2010-11-09,55.57,56.15,55.398,56.09,71400,84.7468585383,85.6313857643,84.4845504643,85.5398829478,35700,0.0,1.0
2010-11-10,55.78,55.8,55.16,55.58,56400,85.067118396,85.0976193348,84.1215892923,84.7621090077,28200,0.0,1.0
2010-11-11,55.6,55.64,55.2118,55.34,48000,84.7926099465,84.8536118242,84.2005867238,84.3960977417,24000,0.0,1.0
2010-11-12,54.9099,55.43,54.69,55.2,78800,83.7401750522,84.5333519665,83.4048172298,84.1825911699,39400,0.0,1.0
2010-11-15,54.86,55.2605,54.82,55.15,405400,83.6640752098,84.2748565099,83.6030733322,84.1063388228,202700,0.0,1.0
2010-11-16,53.98,54.51,53.7372,54.51,65600,82.3220339013,83.1303087803,81.9517525039,83.1303087803,32800,0.0,1.0
2010-11-17,54.02,54.226,53.89,54.03,84800,82.383035779,82.6971954489,82.1847796766,82.3982862484,42400,0.0,1.0
2010-11-18,54.82,54.96,54.5401,54.5401,52200,83.6030733322,83.816579904,83.1762126932,83.1762126932,26100,0.0,1.0
2010-11-19,54.95,54.97,54.517,54.7501,40400,83.8013294345,83.8318303734,83.1409841089,83.4964725509,20200,0.0,1.0
2010-11-22,54.9,54.902,54.29,54.71,50600,83.7250770875,83.7281271814,82.7947984532,83.4353181686,25300,0.0,1.0
2010-11-23,54.13,54.32,53.962,54.28,284800,82.5507909425,82.8405498614,82.2945830564,82.7795479837,142400,0.0,1.0
2010-11-24,54.8295,54.8862,54.47,54.47,60200,83.6175612781,83.7040314397,83.0693069026,83.0693069026,30100,0.0,1.0
2010-11-26,54.52,54.7,54.41,54.48,65200,83.1455592497,83.4200676992,82.9778040861,83.084557372,32600,0.0,1.0
2010-11-29,54.467,54.58,53.83,54.18,92000,83.0647317618,83.2370620662,82.0932768601,82.6270432896,46000,0.0,1.0
2010-11-30,54.09,54.43,53.91,53.98,183800,82.4897890649,83.008305025,82.2152806154,82.3220339013,91900,0.0,1.0
2010-12-01,55.31,55.37,54.94,54.96,66600,84.3503463335,84.44184915,83.7860789651,83.816579904,33300,0.0,1.0
2010-12-02,56.03,56.05,55.37,55.37,121200,85.4483801313,85.4788810702,84.44184915,84.44184915,60600,0.0,1.0
2010-12-03,56.17,56.23,55.82,55.83,368200,85.6618867032,85.7533895196,85.1281202736,85.143370743,184100,0.0,1.0
2010-12-06,56.1,56.21,56.0,56.08,128200,85.5551334172,85.7228885808,85.4026287231,85.5246324784,64100,0.0,1.0
2010-12-07,56.12,56.69,56.101,56.67,218000,85.5856343561,86.4549111127,85.5566584642,86.4244101739,109000,0.0,1.0
2010-12-08,56.35,56.37,55.9799,56.2,138000,85.9363951526,85.9668960915,85.3719752796,85.7076381114,69000,0.0,1.0
2010-12-09,56.56,56.67,56.3338,56.67,109600,86.2566550103,86.4244101739,85.9116893922,86.4244101739,54800,0.0,1.0
2010-12-10,56.9,56.94,56.61,56.74,147800,86.7751709704,86.8361728481,86.3329073574,86.5311634598,73900,0.0,1.0
2010-12-13,56.93,57.22,56.91,57.16,154000,86.8209223787,87.2631859917,86.7904214399,87.1716831752,77000,0.0,1.0
2010-12-14,56.96,57.18,56.83,57.06,119200,86.8666737869,87.2021841141,86.6684176845,87.0191784811,59600,0.0,1.0
2010-12-15,56.71,57.1,56.62,56.87,87200,86.4854120516,87.0801803587,86.3481578268,86.7294195622,43600,0.0,1.0
2010-12-16,57.04,57.08,56.56,56.78,121200,86.9886775422,87.0496794199,86.2566550103,86.5921653375,60600,0.0,1.0
2010-12-17,57.12,57.17,56.91,57.0,118200,87.1106812976,87.1869336446,86.7904214399,86.9276756646,59100,0.0,1.0
2010-12-20,57.24,57.37,56.98,57.29,145200,87.2936869305,87.4919430329,86.8971747258,87.3699392776,72600,0.0,1.0
2010-12-21,57.59,57.65,57.39,57.43,152400,87.8274533601,87.9189561765,87.5224439718,87.5834458494,76200,0.0,1.0
2010-12-22,57.8,57.8,57.624,57.67,216400,88.1477132178,88.1477132178,87.8793049561,87.9494571154,108200,0.0,1.0
2010-12-23,57.71,57.76,57.579,57.72,114800,88.010458993,88.0867113401,87.8106778437,88.0257094625,57400,0.0,1.0
2010-12-27,57.49,57.51,57.2,57.23,143600,88.0760360115,88.1066764833,87.6317491713,87.6777098789,71800,0.263,1.0
2010-12-28,57.55,57.61,57.4,57.61,113200,88.1679574267,88.259878842,87.9381538887,88.259878842,56600,0.0,1.0
2010-12-29,57.6,57.72,57.6,57.66,107200,88.2445586061,88.4284014365,88.2445586061,88.3364800213,53600,0.0,1.0
2010-12-30,57.51,57.63,57.438,57.56,157800,88.1066764833,88.2905193137,87.996370785,88.1832776626,78900,0.0,1.0
2010-12-31,57.57,57.57,57.34,57.43,291400,88.1985978985,88.1985978985,87.8462324735,87.9841145963,145700,0.0,1.0
2011-01-03,58.11,58.33,57.949,57.97,238400,89.0258906354,89.3629358245,88.7792348379,88.8114073332,119200,0.0,1.0
2011-01-04,58.06,58.28,57.7494,58.28,216600,88.9492894561,89.2863346452,88.47344293,89.2863346452,108300,0.0,1.0
2011-01-05,58.37,58.4,57.86,57.93,1435400,89.424216768,89.4701774756,88.6428847387,88.7501263898,717700,0.0,1.0
2011-01-06,58.27,58.46,58.11,58.42,144800,89.2710144093,89.5620988908,89.0258906354,89.5008179473,72400,0.0,1.0
2011-01-07,58.153,58.43,57.74,58.35,164400,89.0917676496,89.5161381832,88.4590419083,89.3935762963,82200,0.0,1.0
2011-01-10,58.1,58.14,57.74,57.94,249000,89.0105703995,89.071851343,88.4590419083,88.7654466256,124500,0.0,1.0
2011-01-11,58.29,58.424,58.06,58.33,263400,89.3016548811,89.5069460417,88.9492894561,89.3629358245,131700,0.0,1.0
2011-01-12,58.81,58.8594,58.55,58.66,214600,90.0983071462,90.1739891114,89.6999810136,89.8685036082,107300,0.0,1.0
2011-01-13,58.73,58.87,58.58,58.84,192000,89.9757452593,90.1902285615,89.7459417213,90.1442678539,96000,0.0,1.0
2011-01-14,59.15,59.17,58.63,58.65,386800,90.6191951658,90.6498356375,89.8225429006,89.8531833723,193400,0.0,1.0
2011-01-18,59.25,59.29,59.0238,59.13,389800,90.7723975245,90.833678468,90.4258537891,90.5885546941,194900,0.0,1.0
2011-01-19,58.66,59.25,58.51,59.22,223800,89.8685036082,90.7723975245,89.6387000702,90.7264368169,111900,0.0,1.0
2011-01-20,58.588,58.69,58.1606,58.54,206800,89.75819791,89.9144643158,89.1034110289,89.6846607778,103400,0.0,1.0
2011-01-21,58.72,59.07,58.66,58.95,235800,89.9604250234,90.4966332788,89.8685036082,90.3127904484,117900,0.0,1.0
2011-01-24,59.08,59.1,58.69,58.7,911800,90.5119535147,90.5425939864,89.9144643158,89.9297845517,455900,0.0,1.0
2011-01-25,59.06,59.1,58.6,58.9,453000,90.481313043,90.5425939864,89.776582193,90.2361892691,226500,0.0,1.0
2011-01-26,59.37,59.47,59.12,59.22,218400,90.9562403549,91.1094427136,90.5732344582,90.7264368169,109200,0.0,1.0
2011-01-27,59.45,59.546,59.24,59.34,594400,91.0788022419,91.2258765062,90.7570772886,90.9102796473,297200,0.0,1.0
2011-01-28,58.402,59.61,58.34,59.54,1782800,89.4732415228,91.3239260158,89.3782560604,91.2166843647,891400,0.0,1.0
2011-01-31,58.85,58.9,58.469,58.61,281000,90.1595880897,90.2361892691,89.5758871031,89.7919024289,140500,0.0,1.0
2011-02-01,59.77,59.8862,59.19,59.24,294800,91.5690497897,91.7470709305,90.6804761093,90.7570772886,147400,0.0,1.0
2011-02-02,59.67,59.83,59.62,59.62,182000,91.415847431,91.6609712049,91.3392462516,91.3392462516,91000,0.0,1.0
2011-02-03,59.82,59.9,59.25,59.6,144400,91.645650969,91.768212856,90.7723975245,91.3086057799,72200,0.0,1.0
2011-02-04,59.98,60.01,59.57,59.85,194000,91.8907747429,91.9367354505,91.2626450723,91.6916116766,97000,0.0,1.0
2011-02-07,60.3591,60.56,60.13,60.15,236000,92.4715648847,92.7793484233,92.120578281,92.1512187527,118000,0.0,1.0
2011-02-08,60.64,60.65,60.3,60.44,307000,92.9019103103,92.9172305462,92.3810222907,92.5955055929,153500,0.0,1.0
2011-02-09,60.49,60.64,60.232,60.49,279200,92.6721067723,92.9019103103,92.2768446868,92.6721067723,139600,0.0,1.0
2011-02-10,60.51,60.58,60.08,60.2,250400,92.702747244,92.8099888951,92.0439771016,92.2278199321,125200,0.0,1.0
2011-02-11,60.89,60.96,60.28,60.3,298400,93.284916207,93.3921578581,92.350381819,92.3810222907,149200,0.0,1.0
2011-02-14,61.04,61.07,60.79,60.86,184400,93.5147197451,93.5606804527,93.1317138483,93.2389554994,92200,0.0,1.0
2011-02-15,60.824,60.93,60.69,60.86,164200,93.1838026503,93.3461971505,92.9785114896,93.2389554994,82100,0.0,1.0
